LoanStatus,CurrentLoanAmount,Term,CreditScore,AnnualIncome,HomeOwnership,Purpose,MonthlyDebt,YearsOfCreditHistory,MonthsSinceLastDelinquent,NumberOfOpenAccounts,NumberOfCreditProblems,CurrentCreditBalance,MaximumOpenCredit,Bankruptcies,TaxLiens
Fully Paid,780494,Short Term,746,456646,Home Mortgage,wedding,2481.02,18.8,56,5,0,0,0,0,0
Fully Paid,780494,Short Term,748,902538,Rent,Buy House,14688.71,26.5,36,6,0,3173,244750,0,0
Fully Paid,780494,Short Term,735,1520608,Home Mortgage,Debt Consolidation,20376.17,17.8,36,4,0,12084,19800,0,0
Fully Paid,780494,Short Term,724,687420,Rent,other,6530.49,11.1,49,4,0,18715,37620,0,0
Fully Paid,780494,Short Term,734,1355802,Rent,Debt Consolidation,15365.68,44.5,31,8,0,25441,1841796,0,0
Fully Paid,780494,Short Term,699,656849,Rent,Debt Consolidation,3848.07,11.7,60,10,0,30552,198682,0,0
Fully Paid,780494,Short Term,727,2299836,Home Mortgage,Debt Consolidation,34305.83,12.5,60,11,1,30932,99770,0,1
Fully Paid,780494,Short Term,700,730588,Rent,other,6149.16,9.2,60,7,0,38437,202268,0,0
Fully Paid,781224,Short Term,713,606290,Rent,Debt Consolidation,9145.08,14.7,36,11,1,39026,122144,1,0
Fully Paid,781224,Short Term,716,2197901,Home Mortgage,Home Improvements,21429.53,27.7,36,8,1,40945,49390,1,0
Fully Paid,781224,Short Term,743,756352,Home Mortgage,Home Improvements,11849.54,18.4,36,9,1,46341,496870,1,0
Fully Paid,781224,Short Term,742,1359792,Rent,Debt Consolidation,17224.07,10.7,36,8,0,57000,150678,0,0
Fully Paid,781224,Short Term,734,622991,Own Home,Debt Consolidation,8046.88,10.7,75,15,0,69179,238370,0,0
Fully Paid,781224,Short Term,750,931095,Rent,other,2498.5,15.5,36,5,0,71459,220044,0,0
Fully Paid,781224,Short Term,750,2435667,Rent,Debt Consolidation,31257.66,12.3,36,10,0,72276,1073028,0,0
Fully Paid,781224,Short Term,739,1029439,Rent,Debt Consolidation,12696.18,14.5,20,13,0,76760,305426,0,0
Fully Paid,781224,Short Term,728,311372,Rent,Debt Consolidation,1873.4,10.5,36,3,0,92378,122958,0,0
Fully Paid,781224,Short Term,721,805733,Home Mortgage,Debt Consolidation,12757.55,15.9,45,9,0,93347,195448,0,0
